Stock,year,Open,High,Low,Close,AdjClose,Volume,average
TESLA,1,198.039993,199.350006,178.190002,189.399994,189.399994,98849200,249
TESLA,2,188.25,223.800003,180,213.690002,213.690002,87959600,249
TESLA,3,214.860001,258.459991,210.960007,251.929993,251.929993,100651500,249
TESLA,4,253.050003,287.390015,242.009995,249.990005,249.990005,119524200,249
TESLA,5,254.179993,282,242.779999,278.299988,278.299988,107035300,249
TESLA,6,286.899994,314.799988,284.579987,314.070007,314.070007,116908500,249
TESLA,7,314.880005,342.890015,290.76001,341.01001,341.01001,148046300,249
TESLA,8,344,386.98999,334.209991,361.609985,361.609985,185899400,249
TESLA,9,370.23999,371.350006,303.130005,323.470001,323.470001,181640000,249
TESLA,10,323,370,311.220001,355.899994,355.899994,136925100,249
TESLA,11,356.119995,389.609985,335.399994,341.100006,341.100006,111512700,249
TESLA,12,342.519989,363,323.559998,325.839996,325.839996,101089500,249
TESLA,13,319.75,324.589996,316.660004,320.869995,320.869995,6979704,249
JNJ,1,114.760002,122.5,111.300003,111.300003,108.396622,171031400,126
JNJ,2,111.360001,117.300003,109.32,115.209999,112.979988,137353100,126
JNJ,3,115.779999,117,110.760002,113.25,111.057922,143280200,126
JNJ,4,112.480003,122.879997,112.470001,122.209999,119.84449,133775200,126
JNJ,5,122.489998,129,122.389999,124.550003,122.947403,166544900,126
JNJ,6,124.730003,125.809998,120.949997,123.470001,121.881302,106180700,126
JNJ,7,123.400002,128.800003,122.339996,128.25,126.599792,112541500,126
JNJ,8,128.320007,137,128.119995,132.289993,131.453781,145513900,126
JNJ,9,132.789993,137.080002,129.570007,132.720001,131.881073,107885800,126
JNJ,10,133.169998,134.970001,130.899994,132.369995,131.533279,107036400,126
JNJ,11,132.600006,135.789993,129.050003,130.009995,130.009995,116205400,126
JNJ,12,130.160004,144.350006,130.020004,142.360001,142.360001,101913800,126
JNJ,13,141,142.699997,140.199997,141.779999,141.779999,5140654,126
JPM,1,69.480003,80.529999,67.639999,80.169998,78.381516,457634900,90
JPM,2,80.650002,87.389999,80.650002,85.489998,83.582832,378016700,90
JPM,3,87.339996,88.169998,83.029999,84.629997,82.742027,343035100,90
JPM,4,85.540001,91.339996,84.160004,90.620003,89.088631,271267200,90
JPM,5,92.790001,93.980003,85.230003,87.839996,86.355591,371669000,90
JPM,6,87.989998,89.129997,84.360001,87,85.529793,321112200,90
JPM,7,87.360001,88.089996,81.639999,82.150002,81.2258,283639500,90
JPM,8,82.459999,92.650002,81.650002,91.400002,90.371735,333861800,90
JPM,9,91.559998,94.510002,90.32,91.800003,90.767235,271473000,90
JPM,10,92.489998,95.220001,90.160004,90.889999,90.361794,253144800,90
JPM,11,91.25,95.879997,88.080002,95.510002,94.954941,250922800,90
JPM,12,95.769997,101.449997,94.959999,101.019997,100.432915,218344800,90
JPM,13,101.43,102.226303,101.050003,101.769997,101.769997,10400446,90
DIS,1,92.779999,100.290001,91.660004,99.120003,97.635628,187468800,106
DIS,2,99.129997,106.260002,98.25,104.220001,102.659241,177569400,106
DIS,3,105.300003,111.050003,105.209999,110.650002,109.832932,146524500,106
DIS,4,110.709999,111.989998,108.580002,110.089996,109.277069,130193900,106
DIS,5,110.660004,113.709999,110.040001,113.389999,112.552704,128977500,106
DIS,6,113.18,116.099998,112.040001,115.599998,114.746384,97200100,106
DIS,7,115.589996,115.610001,105.230003,107.940002,107.142944,173480500,106
DIS,8,107.730003,108.639999,103.169998,106.25,105.465424,168352500,106
DIS,9,106.760002,110.190002,102.720001,109.93,109.118248,114387900,106
DIS,10,109.980003,110.830002,100.5,101.199997,101.199997,196823600,106
DIS,11,101.650002,102.550003,96.199997,98.57,98.57,192634400,106
DIS,12,99.309998,100.980003,96.800003,97.800003,97.800003,109395400,106
DIS,13,97.900002,98.360001,96.889999,98.309998,98.309998,7868685,106
AAPL,1,113.459999,113.769997,104.080002,110.519997,108.604279,721305500,143
AAPL,2,110.370003,118.019997,108.25,115.82,114.396751,608703400,143
AAPL,3,115.800003,122.440002,114.760002,121.349998,119.858795,563122000,143
AAPL,4,127.029999,137.479996,127.010002,136.990005,135.30661,574968600,143
AAPL,5,137.889999,144.5,137.050003,143.660004,142.509842,561628400,143
AAPL,6,143.710007,145.460007,140.059998,143.649994,142.499893,373304100,143
AAPL,7,145.100006,156.649994,144.270004,152.759995,151.536972,653755300,143
AAPL,8,153.169998,155.979996,142.199997,144.020004,143.45665,684178100,143
AAPL,9,144.880005,153.990005,142.410004,148.729996,148.148224,421992400,143
AAPL,10,149.100006,164.520004,148.410004,164,163.35849,661069000,143
AAPL,11,164.800003,164.940002,149.160004,154.119995,154.119995,679879200,143
AAPL,12,154.259995,163.600006,152.460007,163.050003,163.050003,423260600,143
AAPL,13,159.289993,163.600006,158.699997,163.050003,163.050003,44454160,143
MSFT,1,59.970001,61.41,57.279999,60.259998,58.842373,612034100,70
MSFT,2,60.110001,64.099998,58.799999,62.139999,61.088055,513256500,70
MSFT,3,62.790001,65.910004,61.950001,64.650002,63.555569,493283800,70
MSFT,4,64.360001,65.239998,62.75,63.98,62.896912,440701500,70
MSFT,5,64.129997,66.190002,63.619999,65.860001,65.137604,489169700,70
MSFT,6,65.809998,69.139999,64.849998,68.459999,67.709076,433065900,70
MSFT,7,68.68,70.739998,67.139999,69.839996,69.073936,517218500,70
MSFT,8,70.239998,72.889999,68.089996,68.93,68.564697,629584800,70
MSFT,9,69.330002,74.419998,68.019997,72.699997,72.314713,469851200,70
MSFT,10,73.099998,74.959999,71.279999,74.769997,74.373741,444041200,70
MSFT,11,74.709999,75.970001,72.919998,74.489998,74.489998,375983900,70
MSFT,12,74.709999,86.199997,73.709999,83.809998,83.809998,391052400,70
MSFT,13,84.370003,86.199997,83.610001,83.809998,83.809998,71066729,70
INTC,1,34.900002,35.66,33.419998,34.700001,33.689716,412344200,37
INTC,2,34.860001,37.349998,33.560001,36.27,35.480629,405486600,37
INTC,3,36.610001,38.450001,36.189999,36.82,36.018658,456290900,37
INTC,4,36.82,36.950001,34.84,36.200001,35.412155,477541600,37
INTC,5,35.849998,36.299999,34.66,36.07,35.536877,546151800,37
INTC,6,36.189999,37.5,35.209999,36.150002,35.615696,443970000,37
INTC,7,36.110001,37.169998,35.02,36.110001,35.57629,432927300,37
INTC,8,36.119999,36.57,33.34,33.740002,33.488609,499084800,37
